Game,Boxart,URL,IARC
Five Nights at Freddy's 2,https://store-images.s-microsoft.com/image/apps.47708.13578174030071833.4997d559-fd26-4559-b1af-afa7713b023f.17dfdb33-5bf9-410b-9ceb-f6340a51d6ba?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-2/9NBR2ZSD99FX/0010,12
High On Life: DLC Bundle,https://store-images.s-microsoft.com/image/apps.45698.14446587253549705.e43538fa-f128-4fd7-9cdc-fb8fb857168a.05d18f3d-aaf8-45c2-a3b7-a13644c7985f?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/high-on-life-dlc-bundle/9NWMJR0C0FRS/0010,18
Five Nights at Freddy's 4,https://store-images.s-microsoft.com/image/apps.49413.14319236246610425.df464200-7452-40e6-82ac-e9fc9e4118aa.da218f32-5176-40bf-b6c5-f2f5ff0d0101?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-4/9PLDLMPLR7JV/0010,12
Baldur's Gate: Dark Alliance,https://store-images.s-microsoft.com/image/apps.19056.14485340875829651.40bfddc7-eed0-49ea-a314-ac9c96b1f054.8ec1d41f-13f6-4cea-8599-d33311eb483a?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/baldurs-gate-dark-alliance/9NZ7NRN0D1FB/0010,16
Dead Island Definitive Edition,https://store-images.s-microsoft.com/image/apps.51793.70128237179769548.ade50b5f-526d-44e1-af2b-6e356a6e2c86.bf6ac733-9a82-4028-87ed-d7ef2250b214?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/dead-island-definitive-edition/BS7F51G3DP8R/0001,18
Stranded: Alien Dawn,https://store-images.s-microsoft.com/image/apps.21484.13739067125663276.df554181-3233-4d30-ab09-47c7391235da.5292eaa9-2101-4533-9599-aafaa937017a?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/stranded-alien-dawn/9NNNVRFTDFBW/0010,16
Adios,https://store-images.s-microsoft.com/image/apps.46220.14245802932533275.3ca8587e-cbe8-440b-b560-bc2712f041a2.dec41d27-cc92-445c-89cc-b00b5f565c8b?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/adios/9PGRS6WW78MB/0010,16
Path of Titansスタンダードファウンダーズパック - (ゲームプレビュー),https://store-images.s-microsoft.com/image/apps.38225.13669130064012474.561b5a8a-ed25-477c-950a-a52318fede89.e338de3a-4e15-4f18-abc9-dbe9ad0fbb61?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/path-of-titans/9NJV563B1NS5/0010,12
Hades,https://store-images.s-microsoft.com/image/apps.20447.14093828725404571.e8c4fd85-da7e-4c33-9a85-c97c9f3eeb38.5c83fe96-5360-4c4b-a0f6-7dabd9a39c9e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/hades/9P8DL6W0JBB8/0010,12
"El Paso, Elsewhere",https://store-images.s-microsoft.com/image/apps.39653.14511788609227611.dfcd6c8e-a7ef-45d8-b33b-f902f55410aa.efd6799b-f1e6-468b-b811-c9d07f7d356f?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/el-paso-elsewhere/9P1H1KJB032N/0010,18
The Walking Dead: The Telltale Definitive Series,https://store-images.s-microsoft.com/image/apps.58098.14326194513272198.b6106850-1b14-41cd-a03b-7399287a2311.302272e3-dd6c-4af5-aa6c-4aedd15c6039?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/the-walking-dead-the-telltale-definitive-series/9PPDLH53M8PM/0010,18
Assassin's Creed II,https://store-images.s-microsoft.com/image/apps.2346.67608528792882784.56fd0e59-8e5c-4c63-9eca-864b4e57fa73.7ec02e56-9921-4204-be2c-b60efdc784ba?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/assassins-creed-ii/BNVMH8NVCRCT/0001,18
Doki Doki Literature Club Plus!,https://store-images.s-microsoft.com/image/apps.65532.13839137676655214.0b01fff9-297b-4f4c-a938-ca189d72cc5b.4c7584fd-f2b7-4e07-8d2b-0be7f5cc5d87?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/doki-doki-literature-club-plus/9MWQ4NQ5WX37/0010,18
Biomutant,https://store-images.s-microsoft.com/image/apps.21552.69809885692418451.eed819dd-bd10-4c3e-a425-4bb9884f914a.c8561f54-d0d5-4e69-8f16-78141011b2b9?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/biomutant/BSN8BS8F8BBJ/0001,12
STAR WARS Jedi Knight II Jedi Outcast,https://store-images.s-microsoft.com/image/apps.42479.14179593213985310.e32fc883-b64b-4d06-9f08-9da2405ef969.8ad94f03-ed91-49dc-ba79-dde4ae076662?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/star-wars-jedi-knight-ii-jedi-outcast/9PGJX8S0ZXD9/0010,16
Way of the Hunter,https://store-images.s-microsoft.com/image/apps.18927.14223582053027315.049d5f5a-0c16-42ff-bd51-1517829076f2.566534e6-7ad4-46b4-bbcf-1a5c16f7fa0d?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/way-of-the-hunter/9PHW62DC4LGS/0010,16
Cult of the Lamb,https://store-images.s-microsoft.com/image/apps.3124.14346269945886296.f52768ac-d146-4e11-bd75-bd4a2da6302f.c42845c2-8226-4283-a1eb-fffa764676ac?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/cult-of-the-lamb/9PNLPMP1GGH5/0010,12
Remnant: From the Ashes - Complete Edition,https://store-images.s-microsoft.com/image/apps.7808.14109086187158295.6fdb1cae-2ad0-4747-8084-1cb082e1d19b.a9ba2f45-3b48-48b0-b305-8c3c3db75a9a?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/remnant-from-the-ashes-complete-edition/9PC09KXKZS1B/0010,16
Teenage Mutant Ninja Turtles: The Cowabunga Collection,https://store-images.s-microsoft.com/image/apps.40753.14106251571378973.7698f188-cee9-4418-b424-3de1aea113fe.0b12e473-e52e-4c62-aa90-3a05599ae87f?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/teenage-mutant-ninja-turtles-the-cowabunga-collection/9P7K3S4RT762/0010,12
Avatar The Last Airbender: Quest for Balance,https://store-images.s-microsoft.com/image/apps.28881.13947176590906264.390c637a-9c23-4a3c-8695-0aab2ef483b8.b11d97d4-840a-412e-8436-0b251f5709ba?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/avatar-the-last-airbender-quest-for-balance/9N2QS4Z635WT/0010,12
Saints Row The Third Remastered,https://store-images.s-microsoft.com/image/apps.23713.63105582142293522.f8e07bcc-7e77-4db9-b827-8cf68907585f.330e50a0-470d-4398-8ca9-fed7aaf00700?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/saints-row-the-third-remastered/BXHMPV1JT9WH/0001,18
